user9,1,1,मालिक,मालक,वह जिसे किसी वस्तु आदि पर पूरे और सब प्रका,एखाद्या गोष्टीविषयी सर्व किंवा महत्त्वा,253.08,2.84,159,1173,36,36,110,158,1
user9,3,3,ओकोलेहाओ,आदरातिथ्य,"एक प्रकार की शराब जो गन्ने के रस, चावल और म",पाहुण्याचा केलेला आदरसन्मान ,263.74,2.21,93,807,73,37,50,92,0
user9,5,5,चातुर्मास,उड्डाण,चतुर्मास का या चतुर्मास में होने वाला ग,विमान इत्यादींना उडविण्याची क्रिया,231.2,3.07,60,511,64,25,40,59,0
user9,7,7,रैयत,रयत,किसी राजा के अधीन या उसके राज्य में रहने व,एखाद्या राजा वा शासनाच्या आधिपत्याखाली ,226.6,3.49,52,498,35,37,40,52,1
user9,9,9,ईंदर,इंडिया गेट,एक प्रकार की मिठाई ईंदर ताजा ब्याई हुई ,दिल्लीतील एक राष्ट्रीय स्मारक,242.67,2.61,73,634,41,29,49,72,0
user9,11,11,संरक्षण,सुरक्षा,अच्छी तरह की जाने वाली रक्षा यह देश आभा,"व्यवस्थितपणे राखणे, संभाळ करण्याची क्रि",234.66,4.06,44,568,79,40,33,43,1
user9,13,13,नगरघड़ी,बलरामपूर,वह टावर जिसमें एक या एक से अधिक बड़ी घड़िय,भारताच्या उत्तर प्रदेश राज्यातील एक जिल,261.23,2.85,97,744,112,49,84,96,0
user9,15,15,कल्पतरु,कल्पद्रुम,हिंदू धर्मग्रंथों में वर्णित वह वृक्ष जो,"एक काल्पनिक वृक्ष, आपण कल्पिलेली कोणतीही",242.48,2.78,88,583,73,49,61,87,1
user9,17,17,सत्ताधीश,सत्ताधारी,वह जिसके हाथ में सत्ता हो अंग्रेज सत्ता,"सत्ता, मालकी, प्रभुत्व वगैरे असलेला मनुष्",233.19,3.41,52,529,68,32,35,52,1
user9,19,19,युद्धबंदी,युद्धकैदी,युद्ध के समय बन्दी बनाए हुए विपक्षी सैनिक,युद्धात अटक केलेले सैनिक भारत,225.33,4.91,48,923,27,29,34,47,1
user9,21,21,हफ्ता,हप्ता,सात दिनों की अवधि मैं एक सप्ताह में वाप,सात दिवसांचा कालावधी मी मागचा,230.98,3.37,47,620,79,22,32,46,1
user9,23,23,दुःखद,दुःखमय,जो दुख से भरा हो हिंदू विधवा का जीवन दुः,दुःखाने भरलेला त्याच्या दुःख,209.07,3.96,46,604,28,23,33,45,1
user9,25,25,एकमुश्त,चोळमंडल,एक बार में या एक साथ उसने सारा देन एकमुश,एक प्राचीन देश सध्याचे तंजाऊर,226.44,3.58,52,555,33,23,28,51,0
